,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X100,X100,50,36786,36308,2759,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,100,94
X99,X99,49,46433,46341,2759,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,99,93
X27,X27,9,46487,45707,2817,Insheim,Production,Production,spores,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,27,21
Bb,Bb,NA,38153,37826,2914,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bb,284
X75,X75,30,53470,48377,3058,Bad Blumau,Middle,HeatCentral,spores,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,75,69
X259,X259,124,42702,42702,3118,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,259,253
X186,X186,81,31812,31812,3127,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,186,180
X145,X145,60,10439,10370,3155,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,145,139
X181,X181,96,29203,26302,3159,Krafla,K-32,Injection,direct,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,181,175
X203,X203,98,39195,38286,3188,Krafla,K-32,Injection,spores,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,203,197
X263,X263,128,17929,17929,3476,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,263,257
X22,X22,4,42616,41054,3477,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,22,16
X38,X38,20,36832,36037,3549,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,38,32
X108,X108,58,61899,61631,3648,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,108,102
X95,X95,45,30542,30495,3668,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,95,89
X224,X224,119,26390,26390,3736,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,224,218
